,score_title,likelihood_title,score_text,likelihood_text
0,-0.6908,neg,-0.9928,neg
2,0.4767,pos,0.9993,pos
3,-0.5719,neg,-0.9081,neg
4,-0.5093,neg,-0.9255,neg
5,0.0,neg,0.0,neg
6,-0.4767,neg,0.0,neg
7,0.3612,pos,0.9844,pos
8,-0.6808,neg,-0.9597,neg
9,0.0,neg,-0.9659,neg
10,-0.5267,neg,-0.8757,neg
11,0.4767,pos,-0.902,neg
12,-0.2023,neg,0.2579,pos
13,-0.4874,neg,0.9888,pos
14,-0.6486,neg,-0.9638,neg
15,-0.802,neg,-0.9992,neg
16,0.0,neg,0.0,neg
17,0.886,pos,0.5381,pos
18,-0.1779,neg,-0.9917,neg
19,0.4588,pos,0.9871,pos
20,-0.5423,neg,-0.9188,neg
21,0.3182,pos,0.7534,pos
22,-0.4404,neg,-0.9992,neg
23,0.8779,pos,-0.8044,neg
24,0.68,pos,0.9608,pos
25,0.5574,pos,0.9959,pos
26,0.128,pos,-0.9584,neg
27,0.6808,pos,0.9975,pos
28,0.0,neg,-0.9037,neg
29,0.0,neg,0.2732,pos
30,0.3818,pos,0.9984,pos
31,0.3818,pos,-0.3802,neg
32,0.0,neg,0.9982,pos
33,0.4215,pos,0.9969,pos
34,0.128,pos,0.8594,pos
35,-0.8074,neg,-0.6189,neg
36,0.0,neg,0.8934,pos
37,-0.3818,neg,-0.586,neg
38,0.0,neg,-0.9948,neg
39,0.0,neg,-0.9932,neg
40,0.1901,pos,0.9958,pos
41,-0.765,neg,-0.9659,neg
42,0.6249,pos,0.9005,pos
44,0.0,neg,0.9763,pos
45,0.0,neg,0.9759,pos
46,-0.5994,neg,0.9541,pos
47,0.0,neg,0.9732,pos
48,0.25,pos,0.6044,pos
49,-0.4939,neg,-0.9885,neg
50,0.0,neg,0.9795,pos
51,0.0,neg,0.9861,pos
52,0.0,neg,0.9654,pos
53,0.6124,pos,0.9976,pos
54,-0.4767,neg,-0.5859,neg
55,-0.5859,neg,-0.9683,neg
56,0.0258,pos,0.6124,pos
57,0.0,neg,0.9888,pos
58,0.4019,pos,-0.1531,neg
59,0.7845,pos,0.9393,pos
60,-0.4215,neg,0.9929,pos
61,0.1027,pos,-0.7619,neg
62,-0.0258,neg,0.9788,pos
63,-0.5994,neg,-0.5099,neg
64,-0.1531,neg,-0.8987,neg
65,0.2023,pos,0.9793,pos
66,0.0,neg,-0.9879,neg
67,-0.6486,neg,0.5994,pos
68,0.3818,pos,0.9797,pos
69,0.0,neg,-0.9966,neg
70,-0.1531,neg,-0.9943,neg
71,0.0,neg,-0.5696,neg
72,-0.7579,neg,-0.9851,neg
73,0.6249,pos,0.9733,pos
74,-0.6705,neg,-0.9911,neg
75,-0.672,neg,-0.9955,neg
76,-0.2263,neg,-0.8225,neg
77,0.0,neg,0.0,neg
78,0.0,neg,0.9463,pos
79,-0.128,neg,-0.9993,neg
80,0.0,neg,0.2831,pos
81,-0.4767,neg,0.1325,pos
82,0.0,neg,-0.9426,neg
83,0.0516,pos,-0.9949,neg
84,-0.6597,neg,0.9933,pos
85,0.0,neg,0.9312,pos
86,-0.8658,neg,-0.9976,neg
87,0.0772,pos,-0.9904,neg
88,-0.4939,neg,0.927,pos
89,0.0,neg,0.9927,pos
90,0.0,neg,0.9787,pos
91,0.5859,pos,0.9849,pos
92,0.3595,pos,0.8948,pos
93,-0.3818,neg,-0.964,neg
94,0.0,neg,0.4678,pos
95,-0.296,neg,0.6145,pos
96,-0.4588,neg,-0.9698,neg
97,0.4588,pos,-0.7003,neg
98,-0.2263,neg,-0.1779,neg
99,-0.1531,neg,-0.9456,neg
100,0.5242,pos,0.8604,pos
101,-0.7269,neg,-0.8979,neg
102,0.0,neg,0.999,pos
103,0.1739,pos,0.9357,pos
104,-0.802,neg,0.0,neg
105,-0.2732,neg,0.9996,pos
106,-0.5983,neg,-0.6229,neg
107,-0.3818,neg,-0.9853,neg
108,0.0,neg,0.774,pos
109,0.296,pos,0.996,pos
110,-0.8271,neg,-0.9981,neg
111,0.1027,pos,-0.8979,neg
112,0.0,neg,-0.9992,neg
113,0.5255,pos,0.9891,pos
114,-0.6705,neg,0.4497,pos
115,0.0,neg,0.7817,pos
116,0.0,neg,-0.7166,neg
117,0.0,neg,-0.7776,neg
118,0.0,neg,0.4845,pos
119,0.0,neg,0.9988,pos
120,-0.5106,neg,-0.8575,neg
121,-0.3182,neg,0.9555,pos
122,-0.4019,neg,0.975,pos
123,-0.34,neg,0.0066,pos
124,0.0,neg,0.9795,pos
125,-0.5267,neg,-0.9437,neg
126,0.0,neg,0.5994,pos
127,-0.0772,neg,0.7015,pos
128,-0.4019,neg,0.8297,pos
129,0.0,neg,0.9974,pos
130,0.4019,pos,0.9935,pos
131,0.0,neg,0.9978,pos
132,0.0,neg,0.8171,pos
133,0.1531,pos,-0.9136,neg
134,0.0,neg,0.8885,pos
135,0.4019,pos,0.9761,pos
136,0.0,neg,-0.5027,neg
137,0.2263,pos,0.9506,pos
138,0.0634,pos,-0.9991,neg
139,-0.0258,neg,0.9978,pos
140,0.0,neg,-0.9663,neg
141,0.1027,pos,-0.3687,neg
142,0.0,neg,0.9979,pos
143,-0.5267,neg,-0.9968,neg
144,0.0,neg,-0.9965,neg
145,0.0,neg,0.9952,pos
146,-0.4404,neg,0.9274,pos
147,-0.7906,neg,-0.9981,neg
148,0.0,neg,0.9966,pos
149,0.25,pos,0.6597,pos
150,0.0,neg,0.9197,pos
151,0.6696,pos,-0.9992,neg
152,-0.6486,neg,-0.9962,neg
153,0.0,neg,-0.8989,neg
154,-0.5994,neg,0.9575,pos
155,-0.7184,neg,-0.9709,neg
156,0.2732,pos,0.9971,pos
157,0.0,neg,0.7218,pos
158,0.0,neg,0.975,pos
159,0.0,neg,-0.9861,neg
160,0.4019,pos,0.9102,pos
161,0.0,neg,-0.8566,neg
163,-0.68,neg,-0.9395,neg
164,-0.4588,neg,0.9365,pos
165,-0.4404,neg,0.9917,pos
166,0.3182,pos,0.9955,pos
167,0.4939,pos,-0.9134,neg
168,0.0,neg,0.9862,pos
169,-0.1779,neg,-0.9765,neg
170,0.4939,pos,0.9771,pos
171,-0.2732,neg,-0.8363,neg
172,0.0,neg,0.6245,pos
173,-0.1531,neg,-0.9911,neg
174,0.5106,pos,0.9238,pos
175,-0.7574,neg,-0.9847,neg
176,0.0,neg,0.9901,pos
177,-0.5719,neg,-0.9804,neg
178,-0.3818,neg,0.9964,pos
179,0.5574,pos,0.4939,pos
180,-0.93,neg,-0.9905,neg
181,0.0,neg,0.7791,pos
182,0.0,neg,0.6369,pos
183,-0.3818,neg,0.9989,pos
184,0.0,neg,0.9947,pos
186,0.0,neg,0.9964,pos
187,-0.0772,neg,-0.9207,neg
188,0.4215,pos,0.9984,pos
189,-0.3164,neg,0.9672,pos
190,-0.802,neg,-0.9938,neg
191,-0.7506,neg,0.9402,pos
192,-0.1027,neg,-0.25,neg
193,0.0,neg,0.8849,pos
194,0.7845,pos,-0.2827,neg
195,-0.6771,neg,-0.9955,neg
196,-0.765,neg,-0.9891,neg
197,0.0,neg,0.987,pos
198,0.0,neg,0.7579,pos
199,-0.5994,neg,-0.1779,neg
200,-0.8807,neg,-0.9094,neg
201,0.4404,pos,-0.9554,neg
202,0.6239,pos,-0.9887,neg
203,0.0,neg,-0.9989,neg
204,-0.5106,neg,0.7545,pos
205,-0.128,neg,0.2732,pos
206,-0.8979,neg,-0.9925,neg
207,-0.4215,neg,0.9756,pos
208,0.6249,pos,0.9749,pos
209,0.0,neg,0.3818,pos
210,-0.7644,neg,-0.8268,neg
211,0.0,neg,-0.7227,neg
212,-0.5994,neg,0.8522,pos
213,0.5719,pos,0.8824,pos
214,0.0,neg,0.7572,pos
215,0.3818,pos,-0.9831,neg
216,-0.4215,neg,-0.9615,neg
217,0.3818,pos,0.25,pos
218,0.0,neg,0.6808,pos
219,-0.4767,neg,0.9941,pos
220,0.0,neg,0.9978,pos
221,0.0,neg,-0.4238,neg
222,-0.4767,neg,-0.9661,neg
223,-0.2023,neg,-0.9035,neg
224,-0.6705,neg,-0.9632,neg
225,0.0,neg,0.8868,pos
226,-0.34,neg,0.7317,pos
227,0.128,pos,0.9931,pos
228,0.34,pos,0.9484,pos
229,0.7959,pos,0.9858,pos
